Parahesperornis alexi
Archelon ischyros
Thililua longicollis
Champsosaurus natator
Leptonectes tenuirostris
Tylosaurus proriger
Basilosaurus cetoides
Pezosiren portelli
Pakicetus attocki
Kutchicetus minimus
Dorudon atrox
Ambulocetus natans
Paleoparadoxia repenningi
Hydrodamalis gigas
Shonisaurus sikanniensis
Arsinoitherium zitteli
Mammuthus columbi
Mammut americanum
Platybelodon grangeri
Deinotherium sp.
Gomphotherium sp.
Moeritherium sp.
Hyaenodon horridus
Smilodon fatalis
Thylacosmilus atrox
Sinonyx jiashanensis
Hoplophoneus sp.
Canis dirus
Ursus spelaeus
Ursus spelaeus (head)
Megaloceros giganteus
Castoroides ohioensis
Palaeopropithecus sp.
Notharctus tenebrosus
Kopidodon macrognathus
Plesiadapis sp.
Brontops sp.
Mesohippus sp.
Lophialetes expeditus
Bemalambda pachyoesteus
Ernanodon antelios
Palaeotherium sp.
Uintatherium anceps
Conoryctes comma
Stylinodon sp.
Asiocoryphodon conicus
Leptictidium nasutum
Cf. zhangheotherium sp.
Jeholodens jenkinsi
Meniscoessus robustus
Gobiconodon ostromi
Thrinaxodon sp.
Traversodon sp.
Kannemeyeria sp.
Procynosuchus delaharpeae
Dimetrodon sp.
Edaphosaurus boanerges
Paraceratherium transouralicum (head)
Dzungariotherium ordosensis
Paraceratherium transouralicum
Megachoerus zygomaticus
Synthetoceras tricornatus
Samotherium sp.
Moropus elatus
Merychippus sp.
Bison latifrons
Epigagulus hatcheri
Stenomylus hitchcocki
Camelops sp.
Panochthus tubercleta
Propraopus grandis
Megatherium americanum
Astrapotherium magnum
Protypotherium australe
Hapalops elongatus
Glossotherium harlani
Toxodon platensis
